Regions,2020_rDeaths,2020_cDeaths,2021_rDeaths,2021_cDeaths,2023_rDeaths,2023_cDeaths,,
Philippines,0,38,0,0,0,16,,Note: The missing data are not due to encoding errors but to the lack of records from the DOH.
Region I,0,0,0,0,0,0,,
Region II,0,0,0,0,0,0,,
Region III,0,5,0,0,0,0,,
CALABARZON,0,0,0,0,0,2,,
MIMAROPA,0,1,0,0,0,1,,
Region V,0,0,0,0,0,0,,
Region VI,0,2,0,0,0,0,,
Region VII,0,0,0,0,0,0,,
Region VIII,0,2,0,0,0,0,,
Region IX,0,1,0,0,0,0,,
Region X,0,4,0,0,0,1,,
Region XI,0,7,0,0,0,1,,
Region XII,0,11,0,0,0,0,,
BARMM,0,2,0,0,0,11,,
CAR,0,0,0,0,0,0,,
Caraga,0,2,0,0,0,0,,
NCR,0,1,0,0,0,0,,
