Week,2018_Cases,2019_Cases,2020_Cases,2021_Cases,2022_Cases,2023_Cases,2018_Deaths,2019_Deaths,2020_Deaths,2021_Deaths,2022_Deaths,2023_Deaths,,Year,Cases,Deaths
1,62,,19,6,4,18,2,,0,0,0,0,,2018,5120,8
2,119,21,317,14,7,28,3,,0,0,0,0,,2019,48525,38
3,158,41,573,21,5,63,3,,0,0,0,0,,2020,3832,0
4,191,105,922,27,10,59,4,,0,0,0,0,,2021,218,0
5,217,,1189,44,13,100,4,,0,0,0,0,,2022,589,0
6,222,,1433,47,13,109,5,,0,0,0,0,,2023,2576,16
7,225,,1758,75,12,131,5,,0,0,0,0,,,,
8,225,12692,2105,89,23,133,5,,0,0,0,0,,Note: The missing data are not due to encoding errors but to the lack of records from the DOH.,,
9,440,,2496,104,26,164,8,,0,0,0,1,,,,
10,1416,18516,2780,118,30,208,,,0,0,0,0,,,,
11,1416,22226,3510,102,45,225,,,0,0,0,0,,,,
12,1416,25143,3524,91,62,259,,,0,0,0,0,,,,
13,1416,26956,3546,90,77,308,,,0,0,0,0,,,,
14,1416,30005,3553,98,87,323,,,0,0,0,0,,,,
15,1416,31266,3553,96,100,355,,,0,0,0,0,,,,
16,1416,32886,3557,102,107,376,,,0,0,0,0,,,,
17,1416,33559,3566,107,123,396,,,0,0,0,1,,,,
18,1416,34546,3568,102,119,465,,,0,0,0,1,,,,
19,1416,34950,3596,106,132,602,,,0,0,0,2,,,,
20,1416,36337,3628,116,153,623,,,0,0,0,2,,,,
21,1416,36915,3656,118,171,677,,,0,0,0,2,,,,
22,1578,37390,3667,121,183,634,,,0,0,0,2,,,,
23,1587,37942,3673,129,212,681,,,0,0,0,2,,,,
24,1642,38508,3678,126,209,730,,,0,0,0,2,,,,
25,1866,"38,977",3725,123,198,740,,,0,0,0,2,,,,
26,1884,39293,3770,107,229,778,,,0,0,0,3,,,,
27,1941,39672,3783,125,270,830,,,0,0,0,3,,,,
28,1992,39967,3786,131,285,877,,,0,0,0,3,,,,
29,2021,40389,3794,143,304,921,,,0,0,0,3,,,,
30,2093,40729,3793,143,315,943,,,0,0,0,4,,,,
31,2189,40024,3794,144,339,1023,,,0,0,0,4,,,,
32,2283,40459,3804,149,350,1034,,,0,0,0,4,,,,
33,2312,40652,3832,141,365,1114,,,0,0,0,4,,,,
34,2338,40782,,148,357,1179,,,0,0,0,4,,,,
35,2390,41024,,157,370,1238,,,0,0,0,4,,,,
36,2449,41213,,164,373,1301,,,0,0,0,4,,,,
37,2577,41440,,162,413,1420,,,0,0,0,4,,,,
38,2652,41908,,168,425,1519,,,0,0,0,5,,,,
39,2775,42004,,176,447,1627,,,0,0,0,5,,,,
40,2843,42261,,171,467,1731,,37,0,0,0,5,,,,
41,2905,42471,,174,462,1829,,37,0,0,0,6,,,,
42,2973,42612,,183,495,1951,,37,0,0,0,9,,,,
43,3058,42757,,186,490,2024,,37,0,0,0,10,,,,
44,3309,42974,,186,515,2145,,37,0,0,0,10,,,,
45,3609,43214,,189,524,2266,,38,0,0,0,10,,,,
46,3793,43390,,188,517,2442,,38,0,0,0,11,,,,
47,4412,44014,,197,540,2497,,38,0,0,0,16,,,,
48,4561,46272,,203,557,2576,,38,0,0,0,16,,,,
49,4595,47844,,203,568,,,38,0,0,0,,,,,
50,4727,47871,,208,590,,,38,0,0,0,,,,,
51,4739,48105,,211,595,,,,0,0,0,,,,,
52,5120,48525,,218,589,,,,0,0,0,,,,,
