Week,2020,,,,2021,,,,2022,,,,2023,,,
,Cases,Measles,Tipdas,Tigdas,Cases,Measles,Tipdas,Tigdas,Cases,Measles,Tipdas,Tigdas,Cases,Measles,Tipdas,Tigdas
1,,403,0,480,6,347,0,345,4,496,0,375,18,49,42,3
2,,381,0,400,14,294,0,294,3,314,0,279,10,50,42,3
3,,336,0,457,21,299,0,280,2,308,0,300,45,50,38,3
4,,432,100,505,27,363,0,344,5,363,0,249,4,52,34,0
5,,475,0,429,44,483,0,534,3,302,0,185,41,56,34,0
6,,385,0,393,47,561,0,490,0,520,0,299,9,46,34,0
7,,388,0,428,75,441,85,422,1,612,0,344,22,54,31,3
8,,406,0,352,89,358,0,381,11,461,77,245,32,52,32,0
9,,440,0,478,104,341,0,334,4,452,0,218,69,48,29,0
10,,394,0,425,118,294,0,330,15,472,0,210,44,47,26,0
11,,383,0,365,102,310,0,249,17,428,0,188,17,51,30,2
12,,356,0,433,91,308,0,307,15,413,0,198,49,55,31,3
13,,320,0,446,90,243,100,185,10,417,0,158,15,55,29,3
14,,241,0,366,98,424,0,306,13,433,0,178,32,45,27,4
15,,183,0,292,96,431,0,205,0,341,0,189,21,50,26,2
16,,233,0,350,102,416,0,230,7,441,0,205,20,58,31,2
17,,189,0,144,107,418,0,83,16,458,0,204,69,68,42,2
18,,220,0,140,102,396,0,235,13,404,77,222,137,100,56,6
19,,226,0,372,106,463,0,164,132,422,0,210,21,89,51,5
20,19,164,0,116,116,496,0,174,153,481,0,209,54,71,40,3
21,317,154,0,166,118,479,0,137,171,447,0,285,43,66,40,2
22,573,147,0,134,121,406,0,133,183,473,0,249,47,54,33,5
23,922,192,0,158,129,424,0,211,212,438,0,275,49,48,34,0
24,1189,122,0,91,126,201,0,127,209,386,0,280,10,48,31,4
25,1433,125,0,80,123,324,0,214,198,487,100,287,38,49,35,3
26,1758,345,0,81,107,358,0,257,229,417,0,355,52,43,37,3
27,2105,450,0,95,125,320,0,261,270,416,0,390,47,48,39,4
28,2496,349,0,122,131,381,0,282,285,473,0,409,44,48,32,3
29,2780,305,0,132,143,336,0,236,304,505,0,445,22,49,42,5
30,3510,383,0,119,143,368,0,302,315,547,0,480,80,49,39,4
31,3524,365,0,154,144,391,0,480,339,548,0,548,11,56,36,3
32,3546,361,0,315,149,352,0,489,350,520,0,490,20,50,42,2
33,3553,397,0,333,141,408,0,433,365,528,0,443,65,58,44,3
34,3553,405,0,364,148,305,0,375,357,515,0,431,59,57,47,4
35,3557,444,0,355,157,403,0,485,370,523,0,367,63,62,39,0
36,3566,342,0,354,164,368,0,446,373,544,0,380,119,59,40,0
37,3568,365,0,265,162,295,0,227,413,562,100,479,99,57,39,3
38,3596,487,0,203,168,279,0,315,425,520,89,426,108,59,41,3
39,3628,399,100,180,176,308,0,403,447,448,0,409,104,57,45,2
40,3656,368,0,178,171,309,0,289,467,511,0,452,98,61,46,0
41,3667,358,0,346,174,412,0,380,462,546,91,422,122,69,51,3
42,3673,418,0,222,183,404,0,368,495,542,0,400,73,68,47,5
43,3678,411,0,422,186,464,0,303,490,515,0,379,121,63,46,3
44,3725,529,0,348,186,378,0,336,515,432,0,397,121,63,52,0
45,3770,440,0,353,189,533,100,452,524,482,0,435,176,84,57,3
46,3783,427,0,233,188,578,0,511,517,523,0,407,55,70,50,5
47,3786,394,0,342,197,453,0,374,540,550,0,401,79,61,48,4
48,3794,489,0,284,203,328,0,489,557,465,0,450,50,60,45,4
49,3793,417,0,305,203,413,0,394,568,484,0,415,55,56,43,3
50,3794,477,0,392,208,361,0,298,590,421,0,429,60,57,40,3
51,3804,424,0,255,211,251,0,323,595,372,0,410,50,50,40,3
52,3832,669,0,609,218,243,0,302,589,329,0,349,43,47,44,4
